,2YKJ,5MTP,6EYB,2X23,1YET,3EKX,5LNY,5MTQ,4OIM,2X22,4OXY,5J9X,5LS1,5COQ,1XKK,2VCJ,6F1N,4DAJ,5ODX,5J86,4OYR,2BSM,6ELP,5J20,5J27,6EL5,4OHU,5UGT,5UGS,5LO6,5UGU,6EYA,6DJ1,2YKI,6EY8,6EY9,5LNZ,5MTR,5OCI,5J64,5NYH,3BJM,5NYI,6B1E,2VCI,5OD7,6ELN,5LR7,1QSG,2UWD,5J2X,5LRZ,6ELO,5LQ9,6EI5,5LR1,5LO5,5T21
HB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARO,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1
IO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
